tract,community_center,per_cap_income,total_non_english
53033022805,North Bellevue Community Center,80231,1765
53033022804,North Bellevue Community Center,57089,3014
53033023701,Highland Community Center,84374,1355
53033024001,Northwest Arts Center,91900,1714
53033023702,Highland Community Center,87274,224
53033024002,Northwest Arts Center,94851,1648
53033023805,Northwest Arts Center ,98009,1439
53033023806,Northwest Arts Center,87839,1608
53033023807,Northwest Arts Center,129922,2178
53033023808,Northwest Arts Center,101844,1037
53033023601,Highland Community Center,82973,1961
53033023603,Highland Community Center,57256,3717
53033023201,Crossroads Community Center,53570,3799
53033023202,Crossroads Community Center,46983,2234
53033022901,Highland Community Center,64961,1053
53033023000,Crossroads Community Center,74916,2594
53033023100,Crossroads Community Center,66407,1162
53033023300,Crossroads Community Center,48280,2525
53033023604,Crossroads Community Center,62119,3207
53033023500,South Bellevue Community Center,69733,1191
53033023801,South Bellevue Community Center,62010,1367
53033023901,Northwest Arts Center,75941,1198
53033023902,South Bellevue Community Center,127432,609
53033024701,South Bellevue Community Center,50163,1380
53033025001,South Bellevue Community Center,67859,1804
53033024904,South Bellevue Community Center,70048,1709
53033024901,South Bellevue Community Center,75790,2248
53033024800,South Bellevue Community Center,46778,2205
53033024902,South Bellevue Community Center,66554,1233
53033023401,South Bellevue Community Center,52633,1785
53033023403,South Bellevue Community Center,74157,1231
53033024905,South Bellevue Community Center,87037,1775
53033025008,South Bellevue Community Center,69674,545
53033025007,South Bellevue Community Center,78976,1424